amount,transaction_hour,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,risk_score,merchant_category_encoded,hour_category_Morning,hour_category_Afternoon,hour_category_Evening,amount_category_Medium,amount_category_High,amount_category_Very High,age_group_Adult,age_group_Middle Age,age_group_Senior,is_fraud
40.96,6,0,1,82,2,51,6.9,2,False,False,False,False,False,False,False,False,True,0
57.07,6,0,0,42,2,18,5.9,1,False,False,False,True,False,False,False,False,False,0
44.24,0,0,0,26,2,25,6.7,3,False,False,False,False,False,False,False,False,False,0
396.8,23,0,0,97,1,34,1.65,0,False,False,True,False,False,True,True,False,False,0
20.13,0,0,0,91,1,28,1.95,2,False,False,False,False,False,False,True,False,False,0
129.82,4,0,0,82,0,40,0.9,0,False,False,False,True,False,False,False,True,False,0
152.2,8,0,0,65,2,30,4.75,4,True,False,False,False,True,False,True,False,False,0
293.74,22,0,0,35,1,54,4.75,4,False,False,True,False,True,False,False,False,True,0
86.02,7,0,0,99,2,45,3.05,1,True,False,False,True,False,False,False,True,False,0
335.42,16,0,0,76,2,39,4.2,0,False,True,False,False,False,True,False,True,False,0
51.05,14,0,0,60,3,59,6.5,0,False,True,False,True,False,False,False,False,True,0
315.12,17,0,0,78,1,46,2.6,2,False,True,False,False,False,True,False,True,False,0
123.44,6,0,0,55,2,65,5.25,0,False,False,False,True,False,False,False,False,True,0
364.63,23,0,0,82,4,44,6.9,4,False,False,True,False,False,True,False,True,False,0
10.47,11,0,0,75,3,43,5.75,4,True,False,False,False,False,False,False,True,False,0
315.34,10,0,0,58,2,25,5.1,1,True,False,False,False,False,True,False,False,False,0
98.95,11,0,0,80,0,24,1.0,0,True,False,False,True,False,False,False,False,False,0
474.99,10,1,0,49,4,36,10.55,3,True,False,False,False,False,True,False,True,False,0
143.5,14,0,0,68,3,51,6.1,0,False,True,False,True,False,False,False,False,True,0
14.06,12,0,0,57,1,18,3.65,1,True,False,False,False,False,False,False,False,False,0
295.27,19,0,0,97,6,63,9.15,1,False,False,True,False,True,False,False,False,True,0
465.41,16,0,0,32,1,61,4.9,3,False,True,False,False,False,True,False,False,True,0
165.17,7,0,0,88,4,37,6.6,2,True,False,False,False,True,False,False,True,False,0
0.16,1,0,0,77,2,30,4.15,3,False,False,False,False,False,False,True,False,False,0
105.27,21,0,0,63,1,36,3.35,0,False,False,True,True,False,False,False,True,False,0
234.68,7,0,0,69,2,36,4.55,3,True,False,False,False,True,False,False,True,False,0
136.79,7,0,0,26,1,66,5.2,1,True,False,False,True,False,False,False,False,True,0
129.42,3,0,0,93,3,49,4.85,0,False,False,False,True,False,False,False,True,False,0
29.62,4,0,0,57,1,62,3.65,3,False,False,False,False,False,False,False,False,True,0
21.5,5,0,0,74,3,68,5.8,3,False,False,False,False,False,False,False,False,True,0
526.0,23,0,0,91,1,27,1.95,0,False,False,True,False,False,True,True,False,False,0
80.61,6,0,0,41,3,48,7.45,1,False,False,False,True,False,False,False,True,False,0
295.08,18,0,0,89,1,65,2.05,4,False,True,False,False,True,False,False,False,True,0
39.33,18,0,0,54,2,43,5.3,2,False,True,False,False,False,False,False,True,False,0
155.78,16,0,0,46,4,18,8.7,4,False,True,False,False,True,False,False,False,False,0
52.36,14,1,0,63,2,29,6.85,0,False,True,False,True,False,False,True,False,False,0
191.05,22,0,1,30,4,60,12.5,3,False,False,True,False,True,False,False,False,True,0
98.73,9,0,0,40,3,25,7.5,0,True,False,False,True,False,False,False,False,False,0
7.94,14,0,0,84,2,59,3.8,0,False,True,False,False,False,False,False,False,True,0
108.69,21,0,0,69,1,48,3.05,1,False,False,True,True,False,False,False,True,False,0
17.12,4,0,0,41,3,48,7.45,3,False,False,False,False,False,False,False,True,False,0
132.32,9,0,0,63,0,46,1.85,4,True,False,False,True,False,False,False,True,False,0
90.4,15,0,0,67,3,21,6.15,2,False,True,False,True,False,False,False,False,False,0
29.82,7,0,0,30,5,43,11.0,2,True,False,False,False,False,False,False,True,False,0
31.53,17,0,0,87,2,52,3.65,2,False,True,False,False,False,False,False,False,True,0
32.88,3,0,0,83,5,37,8.35,4,False,False,False,False,False,False,False,True,False,0
171.33,22,0,0,50,1,53,4.0,4,False,False,True,False,True,False,False,False,True,0
195.97,11,1,0,81,0,26,2.95,0,True,False,False,False,True,False,True,False,False,0
228.14,6,1,0,48,2,42,7.6,1,False,False,False,False,True,False,False,True,False,0
93.78,8,0,0,94,0,45,0.3,2,True,False,False,True,False,False,False,True,False,0
198.43,14,1,0,88,0,50,2.6,3,False,True,False,False,True,False,False,True,False,0
138.55,4,0,0,31,2,22,6.45,4,False,False,False,True,False,False,False,False,False,0
207.38,9,0,0,28,1,53,5.1,2,True,False,False,False,True,False,False,False,True,0
0.94,6,0,0,82,1,18,2.4,4,False,False,False,False,False,False,False,False,False,0
59.77,12,1,0,92,1,45,3.9,4,True,False,False,True,False,False,False,True,False,0
230.47,11,0,0,89,1,41,2.05,1,True,False,False,False,True,False,False,True,False,0
469.14,14,1,0,31,4,58,11.45,3,False,True,False,False,False,True,False,False,True,0
10.84,22,0,0,90,2,40,3.5,2,False,False,True,False,False,False,False,True,False,0
121.86,9,0,0,31,1,36,4.95,4,True,False,False,True,False,False,False,True,False,0
393.59,18,0,0,45,2,46,5.75,2,False,True,False,False,False,True,False,True,False,0
115.86,11,1,0,57,2,42,7.15,2,True,False,False,True,False,False,False,True,False,0
61.65,23,0,0,33,0,60,3.35,0,False,False,True,True,False,False,False,False,True,0
